cid,款式,品牌,颜色,类型,价格,生产年份,是否卖出
1,Camaro,雪佛兰,红色,肌肉车,60000,2016,1
2,Camaro,雪佛兰,黄色,肌肉车,65000,2018,1
3,911,保驰捷,红色,跑车,200000,2017,
4,Escape,福特,蓝色,SUV,60000,2020,0
5,M3,特斯拉,红色,轿车,250000,2018,
6,Carrera,Porsche,红色,sport car,240000,2013,
7,Camaro,雪佛兰,红色,肌肉车,60000,2016,1
8,Camaro,雪佛兰,黄色,肌肉车,65000,2018,
9,Panamera,保驰捷,黑色,跑车,200000,2017,0
10,Mustang,福特,蓝色,肌肉车,60000,2020,
11,Model S,特斯拉,黑色,轿车,180000,2018,1
12,Civic,Toyota,white,sedan,25000,2016,0
13,Camaro,雪佛兰,红色,肌肉车,60000,2016,0
14,Challenger,雪佛兰,Orange,肌肉车,70000,2018,
15,911,保驰捷,红色,跑车,200000,2017,1
16,Escape,福特,蓝色,SUV,60000,2020,
17,Model 3,特斯拉,红色,轿车,250000,2018,1
18,Camaro,雪佛兰,红色,肌肉车,60000,2016,1
19,120i,BMW,白色,hatchpack,40000,2012,
